session_id,date,week,block,archetype,location_variant,deload,slot,exercise_id,sets,rep_range,target_RPE,rest_sec,tempo,superset_group,notes,est_duration_min
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,1,goblet_squat,3,8-10,7,120,3-1-1,,,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,2,db_rdl,3,8-10,7,120,2-1-1,,,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,3,box_step_up,3,8/leg,7,90,2-0-1,,Low box; control the descent,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,4,db_bench_press,3,8-12,7,90,,,,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,5,pallof_press,3,10/side,,60,,,,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,gym,False,6,wall_sit,3,30 s,,60,iso,,,54.2
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,1,goblet_squat,3,10-12,7,90,3-1-1,,Heaviest DB; slower tempo offsets lighter load,38.5
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,2,db_rdl,3,10-12,7,90,2-1-1,,,38.5
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,3,box_step_up,2,10/leg,7,75,2-0-1,,Stair or sturdy step,38.5
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,4,push_up,3,8-15,7,45,,,,38.5
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,5,pallof_press,2,12/side,,45,,,Band on door anchor; no anchor -> dead bug 2×8/side,38.5
W01D1,2026-08-24,1,1,A — Lower Strength + Core,home,False,6,wall_sit,3,30 s,,30,iso,,,38.5
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,1,drop_to_stick,4,4,,60,,,"Max intent, stick every landing; full recovery between sets",50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,2,pogo_hop,3,10,,60,,,"Max intent, stick every landing; full recovery between sets",50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,3,broad_jump_stick,3,3,,90,,,"Max intent, stick every landing; full recovery between sets",50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,4,mb_rotational_throw,3,5/side,,60,,,Full-body rotation — throw hard,50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,5,sl_rdl,3,6/leg,7,60,,,"Light DB, slow",50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,6,sl_balance,3,30 s/leg,,30,,,"Pad, then eyes closed",50.6
W01D2,2026-08-26,1,1,B — Power + Balance,gym,False,7,calf_raise,3,15,7,60,2-1-2,,,50.6
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,1,snap_down,4,4,,45,,,"Max intent, stick every landing; full recovery between sets (home swap for drop to stick)",34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,2,pogo_hop,3,10,,45,,,"Max intent, stick every landing; full recovery between sets",34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,3,broad_jump_stick,3,3,,75,,,"Max intent, stick every landing; full recovery between sets",34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,4,band_rotational_chop,2,8/side,,45,,,"Fast, athletic stance",34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,5,sl_rdl,2,6/leg,7,45,,,Bodyweight or light DB,34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,6,sl_balance,2,30 s/leg,,30,,,,34.5
W01D2,2026-08-26,1,1,B — Power + Balance,home,False,7,calf_raise,2,15,7,45,2-1-2,,On stair edge,34.5
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,2,wall_sit,3,30 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station,46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,gym,False,7,bike_z2,1,12 min steady,,0,,,Aerobic finisher — Conversational pace (Zone 2),46.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,2,wall_sit,3,30 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station — stair or sturdy step,37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,37.0
W01D3,2026-08-29,1,1,C — Quad Endurance + Aerobic,home,False,7,home_aerobic_circuit,1,8 min continuous easy pace,,0,,,Aerobic finisher — Conversational pace (Zone 2),37.0
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,1,goblet_squat,3,8-10,7,120,3-1-1,,,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,2,db_rdl,3,8-10,7,120,2-1-1,,,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,3,box_step_up,3,8/leg,7,90,2-0-1,,Low box; control the descent,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,4,db_bench_press,3,8-12,7,90,,,,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,5,pallof_press,3,10/side,,60,,,,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,gym,False,6,wall_sit,3,35 s,,60,iso,,,54.5
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,1,goblet_squat,3,10-12,7,90,3-1-1,,Heaviest DB; slower tempo offsets lighter load,38.8
